ID,Section,Title,Abstract,Byline,Item_type,Source,Published_date,Material_type_facet,Counter
1860,U.S.,Arizona Sues to Stop Treasury From Recouping Relief Funds,"Gov. Doug Ducey has been using federal pandemic aid to undermine school mask requirements, which Treasury said violated the law.",BY ALAN RAPPEPORT,Article,New York Times,2022-01-02,News,1
1861,Style,André Leon Talley: Mentor in Chief,"He was famous for his larger-than-life persona, but a lesser-known fact was that he took a select few under his wing and guided their careers.",BY ANDRÉ WHEELER,Article,New York Times,2022-01-02,News,1
1862,T Magazine,"In New Orleans, a White Picket Fence That’s Seen Better Days","Having come upon a broken-down partition on a walk, Willie Birch decided to paint what he saw: a fitting metaphor for his city and the country as a whole.",BY ALWA COOPER,Article,New York Times,2022-01-02,News,1
1863,World,"Anatoly Kvashnin, Russian General in a Pivotal Era, Dies at 75",His brutal campaign in Chechnya left a legacy of embittered civilians and vengeful leaders. But he was also part of a warming toward the West after the Soviet Union fell.,BY ALEX TRAUB,Article,New York Times,2022-01-02,Obituary (Obit),1
1864,U.S.,Jan. 6 Panel and State Officials Seek Answers on Fake Trump Electors,Pressure is mounting on the Justice Department to investigate bogus electors who claimed that Donald J. Trump defeated Joseph R. Biden Jr. in their states.,BY LUKE BROADWATER AND ALAN FEUER,Article,New York Times,2022-01-02,News,1
1865,Business,More tech earnings and a fresh outlook on economic growth: The week ahead in business.,NO RECORD,BY CORAL MURPHY MARCOS,Article,New York Times,2022-01-02,Live Blog Post,1
1866,World,"New Honduran Leader Loses Grip on Congress, Sapping Hope for Change","A split in the party of the president-elect, Xiomara Castro, has left her with little political means to fight corruption and organized crime.",BY ANATOLY KURMANAEV,Article,New York Times,2022-01-02,News,1
1867,Arts,Louie Anderson and the Compassion of America’s Eternal Kid,He displayed an empathetic humanity that he shared offstage with his friend Bob Saget. The loss of both comics represents the end of an era.,BY JASON ZINOMAN,Article,New York Times,2022-01-02,News,1
1868,Business,"Morgan Stanley is paying its chief, James Gorman, $35 million for a record 2021.",NO RECORD,BY LANANH NGUYEN,Article,New York Times,2022-01-02,Live Blog Post,1
1869,World,U.S. and Russia Take More Measured Stance in Ukraine Talks,The conciliatory tone and absence of ultimatums suggested that both sides were trying to keep tensions in check and give diplomacy time.,BY MICHAEL CROWLEY AND ANTON TROIANOVSKI,Article,New York Times,2022-01-02,News,1
1870,World,"Thich Nhat Hanh, Zen Master and Political Reformer, Dies at 95","A monk with global influence and an ally of Martin Luther King, he championed what he called “engaged Buddhism,” applying its principles in pressing for peace.",BY SETH MYDANS,Article,New York Times,2022-01-02,Obituary (Obit),1
1871,Sports,"For Nadal and His Contemporaries, It Is About Winning, and Quickly","At 35 years old, getting through the first week dropping only one set gives the 20-time Grand Slam champion “energy in my pocket.” Aging tennis stars take note.",BY MATTHEW FUTTERMAN,Article,New York Times,2022-01-02,News,1
1872,Science,An Ocean May Lurk Inside Saturn’s ‘Death Star’ Moon,"New research is converting some skeptics to the idea that tiny, icy Mimas may be full of liquid.",BY KENNETH CHANG,Article,New York Times,2022-01-02,News,1
1873,Food,A French 75 for Everyone,"Thanks to a deeply flavored citrus shrub, this classic cocktail can be adapted for those who are drinking, want something lighter, or who are fully abstaining from alcohol.",BY REBEKAH PEPPLER,Article,New York Times,2022-01-02,News,1
1874,World,Oil Spill Triggered by Tsunami Devastates Coast of Peru,"Initially said to be seven barrels, the oil spill turned out to be 6,000, the environment ministry said, and has led Peru to call for international aid.",BY MITRA TAJ,Article,New York Times,2022-01-02,News,1
1875,Arts,Samara Golden Is Spilling Her ‘Guts’,The Los Angeles artist has created an ambitious new installation full of inner turmoil.,BY JORI FINKEL,Article,New York Times,2022-01-02,News,1
1876,Technology,Google asks court to dismiss Texas antitrust case.,The effort is the first time the tech giant has tried to get a government case against it tossed out.,BY DAVID MCCABE,Article,New York Times,2022-01-02,News,1
1877,Opinion,The Long Road to Successful Covid Vaccines,The road to successful vaccines; mask distribution; Starbucks; Build Back Better; Trump’s call to Georgia; leaving the G.O.P.; a football fan’s plea.,NO RECORD,Article,New York Times,2022-01-02,Letter,1
1878,Obituaries,"Overlooked No More: Lee Godie, Eccentric Chicago Street Artist","A self-described Impressionist, she hawked her art on Michigan Avenue in the 1970s and ’80s and lived mostly outdoors. But her work is in museums.",BY JEREMY LYBARGER,Article,New York Times,2022-01-02,Obituary (Obit),1
1879,Style,So You Think You’re a Covid Expert (but Are You?),How long should you isolate? What tests are the most reliable? Do vaccine cocktails work? Some people have turned into amateur scientists as they look for answers.,BY ALYSON KRUEGER,Article,New York Times,2022-01-02,News,1
1880,Theater,A Reimagined ‘Long Day’s Journey Into Night’ for the Covid Era,"Robert O’Hara directs a trimmed-down revival of Eugene O’Neill’s classic, with a colorblind cast and a weary eye on the pandemic and the opioid crisis.",BY JUAN A. RAMÍREZ,Article,New York Times,2022-01-02,News,1
1881,U.S.,Texas Man Charged With Threatening to Kill Georgia Election Officials,A man accused of using Craigslist to call for the assassination of election officials is the first to be charged by the Justice Department’s task force on election threats.,BY REID J. EPSTEIN,Article,New York Times,2022-01-02,News,1
1882,World,A Viral Photo Helps Bring Syrian Refugee Family to Italy,A Syrian family portrayed in an award-winning photo has come to Italy for treatment and better lives.,BY GAIA PIANIGIANI,Article,New York Times,2022-01-02,News,1
1883,World,Putin has nonmilitary options to threaten the West.,NO RECORD,BY ANTON TROIANOVSKI AND DAVID E. SANGER,Article,New York Times,2022-01-02,Live Blog Post,1
1884,Style,Actresses From ‘One Tree Hill’ Reunite. Cue the Healing.,"Hilarie Burton Morgan, Sophia Bush and Bethany Joy Lenz talk shop on their podcast “Drama Queens” for their fans but, also, for themselves.",BY TARIRO MZEZEWA,Article,New York Times,2022-01-02,News,1
1885,U.S.,Anti-Abortion Marchers Gather With an Eye on the Supreme Court,The annual March for Life rally is taking on a celebratory tone this year as participants expect the Supreme Court to overturn Roe v. Wade.,BY KATE ZERNIKE AND MADELEINE NGO,Article,New York Times,2022-01-02,News,1
1886,Business,You Quit. I Quit. We All Quit. And It’s Not a Coincidence.,Why the decision to leave a job can become contagious.,BY EMMA GOLDBERG,Article,New York Times,2022-01-02,News,1
1887,Food,What to Cook This Weekend,Try Ligaya Mishan’s adaptation for a Hawaiian steamed red snapper over somen noodles.,BY SAM SIFTON,Article,New York Times,2022-01-02,Letter,1
1888,Movies,Five Science Fiction Movies to Stream Now,"If you’re interested in alien invasions, vivid dreamscapes or adorable cats, this collection of streaming picks may be just right for you.",BY ELISABETH VINCENTELLI,Article,New York Times,2022-01-02,News,1
1889,World,A W.H.O. panel recommends extending the Pfizer vaccine to children 5 to 11.,"Advisers endorsed the wider use of vaccines for children and boosters for high-risk people, bringing its guidance closer to that of most wealthy nations.",BY CORA ENGELBRECHT,Article,New York Times,2022-01-02,News,1
1890,Business,IBM is selling off Watson Health to a private equity firm.,The sale is part of IBM’s effort to tighten the focus of its business and shed operations.,BY STEVE LOHR,Article,New York Times,2022-01-02,News,1
1891,World,Saudi-Led Airstrikes Kill Scores at a Prison in Yemen,"The strikes, which also knocked out the country’s internet, came after Iran-backed Houthi rebels attacked the U.A.E., a key partner in the Saudi-led coalition that has been fighting in Yemen for years.",BY VIVIAN YEE,Article,New York Times,2022-01-02,News,1
1892,Health,"Their DNA Hides a Warning, but They Don’t Want to Know What It Says","Some volunteers for biobanks, which collect genetic information to study health across populations, have been surprised to be informed they carry risky mutations.",BY GINA KOLATA,Article,New York Times,2022-01-02,News,1
1893,World,‘The Daily’: Why the Djokovic case is about more than athletes and vaccines.,NO RECORD,NO RECORD,Article,New York Times,2022-01-02,News,1
1894,Crosswords & Games,How ‘Java’ Became Coffee’s Nickname and a Programming Language,"In Thursday’s puzzle, “Java” was the answer to the clue “Programming language named for a drink named for an island.”",BY ALEXIS BENVENISTE,Article,New York Times,2022-01-02,News,1
1895,Arts,A ‘High Priestess of Satanic Art’? This Organist Can Only Laugh.,"For more than a decade, Anna von Hausswolff has been bringing the sound of pipe organs to rock fans. But Roman Catholic extremists have tried to stop her playing shows in churches.",BY ALEX MARSHALL,Article,New York Times,2022-01-02,News,1
1896,Business,"Netflix and Peloton, two pandemic winners, show signs of a decline.",NO RECORD,NO RECORD,Article,New York Times,2022-01-02,Live Blog Post,1
1897,Well,Craving Chocolate? Stress Snacking? Answers to Your Questions About Mindful Eating,We asked two experts to advise readers taking part in the Eat Well Challenge.,BY TARA PARKER-POPE,Article,New York Times,2022-01-02,News,1
1898,World,"As China holds the line on ‘zero Covid,’ some wonder if that’s sustainable.",NO RECORD,BY AMY QIN AND AMY CHANG CHIEN,Article,New York Times,2022-01-02,News,1
1899,Business,‘It’s not a bubble’: The frothy housing market is not expected to settle soon.,NO RECORD,NO RECORD,Article,New York Times,2022-01-02,Live Blog Post,1
1900,Movies,Watch a Seductive Moment in ‘The Power of the Dog’,Jane Campion narrates an intimate scene between Benedict Cumberbatch and Kodi Smit-McPhee.,BY MEKADO MURPHY,Article,New York Times,2022-01-02,News,1
1901,Business,"Catch up: Intel plans new chip plants in Ohio, and JPMorgan’s chief gets a raise.",NO RECORD,NO RECORD,Article,New York Times,2022-01-02,Live Blog Post,1
1902,U.S.,"U.S. Covid hospitalizations are beginning to level off, though many areas are still strained.",NO RECORD,BY LAUREN LEATHERBY AND ALBERT SUN,Article,New York Times,2022-01-02,Live Blog Post,1
1903,Briefing,Will Climate Action Happen Now?,More Democrats are focusing on it.,BY DAVID LEONHARDT,Article,New York Times,2022-01-02,briefing,1
1904,World,"Under threat of war, Ukraine’s economy shudders. So does Russia’s.",NO RECORD,BY ANDREW E. KRAMER,Article,New York Times,2022-01-02,Live Blog Post,1
1905,World,Omicron extends its reach to some of the planet’s most remote islands.,NO RECORD,BY YAN ZHUANG,Article,New York Times,2022-01-02,Live Blog Post,1
1906,New York,How Remote Work Is Devastating New York City’s Commuter Rails,"Before the pandemic, they relied on office workers, who spent up to $500 a month on tickets. At the M.T.A., those sales are down 75 percent.",BY MATTHEW HAAG AND PATRICK MCGEEHAN,Article,New York Times,2022-01-02,News,1
1907,Arts,Damien Hirst and the Art of the Deal,"He might be Britain’s richest artist, but with each attempt to monetize his talent, Hirst’s originality as a conceptual sculptor becomes an ever more distant memory.",BY SCOTT REYBURN,Article,New York Times,2022-01-02,News,1
1908,Opinion,Republicans Think There Is a ‘Takeover’ Happening. They Have Some Reading to Do.,Conservatives can’t pick and choose which parts of the Constitution they like.,BY JAMELLE BOUIE,Article,New York Times,2022-01-02,Op-Ed,1
1909,Business,How Much Are You Willing to Pay for a Burrito?,The pandemic has led to the largest price spikes at fast-food restaurants in two decades.,BY JULIE CRESWELL,Article,New York Times,2022-01-02,News,1
1910,The Learning Network,How Do You Overcome Your Fears?,Amanda Gorman describes how she conquered her fears to deliver her stunning poem at last year’s presidential inauguration. What do you do to deal with your doubts?,BY JEREMY ENGLE,Article,New York Times,2022-01-02,News,1
1911,U.S.,Racial Turmoil Mars Signs of Progress at the U.S. Mint,A new internal report found that Black employees felt marginalized at the Treasury agency that produces the nation’s coins.,BY ALAN RAPPEPORT,Article,New York Times,2022-01-02,News,1
1912,Style,Debbie Gibson Goes Shopping for Vinyl Records,"The 1980s pop star picked up records by Kylie Minogue, Bonzie and Phil Spector. Her latest album wasn’t available yet.",BY ALEXIS SOLOSKI,Article,New York Times,2022-01-02,News,1
1913,Books,"Seeking Enlightenment, He Disappeared Into a Hiker’s Bermuda Triangle","In “Lost in the Valley of Death,” Harley Rustad follows the long and winding road that led Justin Alexander Shetler to India’s Parvati Valley.",BY MICHAEL PATERNITI,Article,New York Times,2022-01-02,Review,1
1914,Books,Heroic Outcasts Who Reshaped America,James R. Gaines’s “The Fifties” describes a decade when opposition to a stifling national consensus was costly and courageous.,BY THOMAS DYJA,Article,New York Times,2022-01-02,Review,1
1915,Arts,5 Things to Do This Weekend,"Selections from the current Weekend section, including a review of Taylor Mac's “The Hang.” ",BY DANIELLE DOWLING,Interactive,New York Times,2022-01-02,Interactive Feature,1
1916,World,Here are answers to five key questions about the crisis.,NO RECORD,BY DAVID LEONHARDT,Article,New York Times,2022-01-02,Live Blog Post,1
1917,World,Biden’s comments highlight divisions among European allies.,NO RECORD,BY STEVEN ERLANGER AND MICHAEL CROWLEY,Article,New York Times,2022-01-02,Live Blog Post,1
1918,en Español,"La erupción del volcán en Tonga, explicada por científicos","La explosión probablemente no enfriará el planeta como lo han hecho algunas erupciones anteriores, pero podría afectar al clima a corto plazo.",BY HENRY FOUNTAIN,Article,New York Times,2022-01-02,News,1
1919,Arts,"Meat Loaf, ‘Bat Out of Hell’ Singer and Actor, Dies at 74","Born Marvin Lee Aday, he sold millions of albums, won a Grammy and acted in films including “The Rocky Horror Picture Show” and “Fight Club.”","BY ALEX MARSHALL, BEN SISARIO AND DERRICK BRYSON TAYLOR",Article,New York Times,2022-01-02,Obituary (Obit),1
1920,en Español,Mamá se va a ir un rato,"La antiheroína del momento comete el peor pecado del que es capaz una madre: abandonar a sus hijos. Para muestra, el filme ‘La hija oscura’ y la novela ‘I Love You but I’ve Chosen Darkness’.",BY AMANDA HESS AND LIANA FINCK,Article,New York Times,2022-01-02,News,1
1921,U.S.,Biden as a New F.D.R.? Try L.B.J.,The president’s agenda — big progressive change — has placed Democratic priorities over the voters’ desire for practical help on the pandemic and inflation.,BY NATE COHN,Article,New York Times,2022-01-02,News,1
1922,Technology,Twitter shakes up its security team.,"Parag Agrawal, the new chief executive, fired the company’s head of security this week. Twitter’s chief information security officer is also leaving.",BY MIKE ISAAC AND KATE CONGER,Article,New York Times,2022-01-02,News,1
1923,Opinion,The Most Exciting Sporting Event in the World Is Happening Right Now,The Africa Cup of Nations soccer tournament shows glimpses of a different vision for the continent.,BY SEAN JACOBS,Article,New York Times,2022-01-02,Op-Ed,1
1924,Technology,Intel to Invest at Least $20 Billion in New Chip Factories in Ohio,Building up U.S. chip production has been a focus of lawmakers and companies alike amid a global shortage of the crucial components.,BY DON CLARK,Article,New York Times,2022-01-02,News,1
1925,Corrections,"Corrections: Jan. 21, 2022","Corrections that appeared in print on Friday, Jan. 21, 2022.",NO RECORD,Article,New York Times,2022-01-02,Correction,1
1926,Today’s Paper,Quotation of the Day: Ireland Outraged by Teacher’s Murder,"Quotation of the Day for Friday, January 21, 2022.",NO RECORD,Article,New York Times,2022-01-02,Quote,1
1927,Style,"After a Marathon First Date, a Warp-Speed Romance","Within 30 days of their six-hour first date, Kimberly Chexnayder and Jason White had said “I love you” and moved in together. An engagement came soon after.",BY TAMMY LA GORCE,Article,New York Times,2022-01-02,News,1
1928,Style,"‘Traditionally Jewish, but Also Extremely Queer’","After meeting during a retreat for Jewish activists, Frankie Sandmel and Elaina Marshalek deepened their bond at a Queer Talmud Camp.",BY ALIX WALL,Article,New York Times,2022-01-02,News,1
1929,Style,"In a Blink, Her Eye Caught His","Dr. Justin Karlin, an oculoplastic surgeon, connected with Carson Stern on the dating app Hinge after being dazzled by a photo of her left eye in dramatic makeup.",BY ROSALIE R. RADOMSKY,Article,New York Times,2022-01-02,News,1
1930,Arts,"Elza Soares, 91, Who Pushed the Boundaries of Brazilian Music, Dies",She rose from a favela in Rio to samba stardom in the 1960s. But her career was later overshadowed by an affair with a famous soccer player that became a national scandal.,BY MICHAEL ASTOR,Article,New York Times,2022-01-02,Obituary (Obit),1
1931,Business,Peloton considers layoffs but denies a report it will pause bike production.,"The company has faced an abrupt change in fortune over the past year, from complaints that it couldn’t deliver bikes on time, to a drop in demand as gyms reopened and pandemic restrictions were lifted.",BY CORAL MURPHY MARCOS,Article,New York Times,2022-01-02,News,1
1932,Theater,"Review: In ‘Whisper House,’ the Living Are the Pawns of the Dead","A lighthouse keeper, the nephew living with her and a Japanese employee are on alert for U-boats and graver threats in this chamber musical set in 1942.",BY ALEXIS SOLOSKI,Article,New York Times,2022-01-02,Review,1
1933,World,The U.S. will require vaccinations for incoming essential workers crossing land borders.,NO RECORD,BY LAUREN MCCARTHY,Article,New York Times,2022-01-02,Live Blog Post,1
1934,World,简报：美国撤销对麻省理工华裔教授陈刚的指控；法国议会谴责中国对维吾尔人“种族灭绝”,布林肯将与俄外长会面；CIA称大多数“哈瓦那综合症”病例不太可能由外国势力导致；美国指控四名白俄罗斯高官共谋劫机致使飞机迫降……这里是今日要闻。,BY SUE TONG AND KONEY BAI,Article,New York Times,2022-01-02,briefing,1
1935,Opinion,Biden Versus the Friends of Covid,Anti-vaccine politics explain many of the president’s problems.,BY PAUL KRUGMAN,Article,New York Times,2022-01-02,Op-Ed,1
1936,Business,JPMorgan gives Jamie Dimon a raise to $34.5 million after a banner year.,NO RECORD,BY LANANH NGUYEN,Article,New York Times,2022-01-02,Live Blog Post,1
1937,en Español,¿Ómicron puede causar covid prolongada?,Los científicos dicen que aún es muy pronto para saber si quienes se infectan con la nueva variante tendrán síntomas persistentes. Una infección leve no necesariamente es señal de que hay menos riesgo.,BY PAM BELLUCK,Article,New York Times,2022-01-02,News,1
1938,Business,"After Jan. 6, Sean Hannity Advised Trump: ‘No More Stolen Election Talk’","The Fox News host discussed with the White House press secretary how to dissuade the president from pursuing claims of voter fraud, newly disclosed documents show.",BY MICHAEL M. GRYNBAUM,Article,New York Times,2022-01-02,News,1
1939,U.S.,F.B.I. Director Calls Texas Synagogue Attack an Act of Antisemitism,"Christopher A. Wray said the hostage taker targeted the Jewish community, contrary to the agency’s initial statement.",BY RUTH GRAHAM,Article,New York Times,2022-01-02,News,1
1940,Science,Sprawling Coral Reef Resembling Roses Is Discovered Off Tahiti,"The reef, which is just under two miles long and is in “pristine” condition, was found by a team of divers mapping the ocean floor for UNESCO.",BY NEIL VIGDOR,Article,New York Times,2022-01-02,News,1
1941,World,Tonga Receives Relief Aid as Volcanic Ash Covers Island,"An undersea volcano erupted in the South Pacific and blanketed Tonga in heavy ash which threatened the country’s water supply safe. International relief supplies like generators, communications gear and shelter kits have arrived.",BY THE ASSOCIATED PRESS AND REUTERS,Video,New York Times,2022-01-02,Video,1
1942,Business,Netflix stock drops after streaming giant predicts subscriber slowdown.,"The company reported adding 8.3 million subscribers last quarter, but forecast only 2.5 million additions in the current quarter.",BY NICOLE SPERLING,Article,New York Times,2022-01-02,News,1
1943,U.S.,"Reporter Is Hit by Car on Air, Striking Nerve With TV Journalists","TV reporters, responding to footage of a West Virginia journalist being hit by an S.U.V., said stations should be more careful about sending reporters out alone.",BY AMANDA HOLPUCH,Article,New York Times,2022-01-02,News,1
1944,The Learning Network,Film Club: ‘The Aria of Babyface Cauliflower Brown’,Is pro wrestling a form of art?,BY THE LEARNING NETWORK,Article,New York Times,2022-01-02,News,1
1945,Business,DeepMind co-founder leaves Google after a rocky tenure.,"Mustafa Suleyman, who played a key role in the company’s work on health care technology, is joining Greylock Partners, a Silicon Valley venture capital firm.",BY DAISUKE WAKABAYASHI AND CADE METZ,Article,New York Times,2022-01-02,News,1
1946,The Learning Network,"What’s Going On in This Graph? | Jan. 26, 2022",Where do people of Asian descent live in the United States?,BY THE LEARNING NETWORK,Article,New York Times,2022-01-02,News,1
1947,Arts,How Much Watching Time Do You Have This Weekend?,The Fraggles are back. Or check out a rapid-fire new comedy college.,BY MARGARET LYONS,Article,New York Times,2022-01-02,News,1
1948,Theater,Taylor Mac’s ‘Fever Dream’: Exploring the Philosophy of the Hang,"A new jazz opera reimagines Socrates’ final hours. Expect queer romps, ancient Greek in-jokes and plenty of tulle.",BY JENNIFER SCHUESSLER,Article,New York Times,2022-01-02,Review,1
1949,Science,"Deborah Nickerson, Pioneering Genome Researcher, Dies at 67","Using the Human Genome Project as her guide, she helped find genes responsible for cardiovascular disease, autism and a rare disorder called Miller syndrome.",BY RICHARD SANDOMIR,Article,New York Times,2022-01-02,Obituary (Obit),1
1950,Books,11 New Books We Recommend This Week,Suggested reading from critics and editors at The New York Times.,NO RECORD,Article,New York Times,2022-01-02,List,1
1951,Arts,"Drawing, a Cure for the January Blahs","The medium is our art critic’s favorite — and this is a rich moment to indulge in works on paper, from the Drawing Center to the weeklong Master Drawings New York.",BY ROBERTA SMITH,Article,New York Times,2022-01-02,News,1
1952,New York,"Eric Adams, a Bitcoin Booster, Is Taking First Paycheck in Crypto","Mr. Adams, who wants New York City to become the global capital for cryptocurrency, will have his paycheck converted into Bitcoin and Ethereum.","BY DANA RUBINSTEIN, JONAH E. BROMWICH AND JEFFERY C. MAYS",Article,New York Times,2022-01-02,News,1
1953,Sports,NBC’s play-by-play coverage for the Beijing Olympics will be mostly remote.,NO RECORD,BY DAVID W. CHEN,Article,New York Times,2022-01-02,Live Blog Post,1
1954,Briefing,21opinion-abortion,21opinion-abortion,NO RECORD,Slideshow,New York Times,2022-01-02,Slideshow,1
1955,Arts,"Everett Lee, Who Broke Color Barriers on the Conductor’s Podium, Dies at 105",He was known as the first Black conductor on Broadway and the first to conduct a white orchestra in the South. Mr. Lee went on to a successful career in Europe.,BY DAVID ALLEN,Article,New York Times,2022-01-02,News,1
1956,Arts,A Dollhouse You Could Call Home,"Carrie Stettheimer spent 19 years decorating this tiny house, on view at the Museum of the City of New York. She even asked Duchamp to reprise his most famous nude — at three inches.",BY WILL HEINRICH,Article,New York Times,2022-01-02,News,1
1957,World,80 Years Ago the Nazis Planned the ‘Final Solution.’ It Took 90 Minutes.,"As Germany observes the anniversary of the Wannsee Conference, witnesses of the Nazi era are dying and antisemitism is resurgent in Europe and the United States.",BY KATRIN BENNHOLD,Article,New York Times,2022-01-02,News,1
1958,U.S.,"Calling Civilian Casualties a ‘Failure,’ Democrats Urge Biden to Do Better","In a letter to President Biden, dozens of Democrats in Congress raised grave concerns about “repeated civilian casualties arising from secretive and unaccountable lethal operations.”",BY CATIE EDMONDSON,Article,New York Times,2022-01-02,News,1
1959,Arts,"Review: ‘As We See It,’ Where the Quest for ‘Normal’ Is Extraordinary","This dramedy from Jason Katims brings three young adults on the autism spectrum to vivid life, with empathy and a light touch.",BY JAMES PONIEWOZIK,Article,New York Times,2022-01-02,Review,1
1960,Arts,What’s in Our Queue? Mozart and More,"I'm the dance editor at The Times. Here are 5 things I've been watching, reading and listening to.",BY RACHEL SALTZ,Interactive,New York Times,2022-01-02,Interactive Feature,1
1961,Health,Can Omicron cause long Covid?,NO RECORD,BY PAM BELLUCK,Article,New York Times,2022-01-02,Live Blog Post,1
1962,World,"U.S. Charges New Suspect in Haiti President’s Murder, Widening Investigation",The case could help U.S. prosecutors get closer to the people who plotted the assassination of President Jovenel Moïse of Haiti.,BY ANATOLY KURMANAEV,Article,New York Times,2022-01-02,News,1
1963,Arts,Singing Will Return to Tanglewood This Summer,The Boston Symphony Orchestra plans to go back to full-scale programming at its bucolic warm-weather home in the Berkshires.,BY ZACHARY WOOLFE,Article,New York Times,2022-01-02,News,1
1964,Science,Why Whales Don’t Choke,Scientists have discovered a new anatomical structure that allows lunge-feeding whales to take in massive amounts of water without choking.,BY SAM JONES,Article,New York Times,2022-01-02,News,1
1965,World,This ‘Plastic Man’ Has a Cape and a Superhero’s Mission: Cleaning Up Senegal,"Dressed head to toe in plastic, Modou Fall is a familiar sight in Dakar. But however playful his costume, his goal couldn’t be more serious: ridding the capital of the scourge of plastic bags.",BY MADY CAMARA AND RUTH MACLEAN,Article,New York Times,2022-01-02,News,1
1966,Business,"Despite a deal to restrict 5G service near airports, the fight is not over.",NO RECORD,BY STEPHEN GANDEL,Article,New York Times,2022-01-02,Live Blog Post,1
1967,Business,"Robert Costa, a Noted Political Reporter, Is Joining CBS News",The longtime Washington Post political reporter will take an on-air role covering campaigns and elections.,BY MICHAEL M. GRYNBAUM,Article,New York Times,2022-01-02,News,1
1968,U.S.,Illinois Homeowners Can Now Remove Racist Clauses From Their Property Deeds,"With a new law, Illinois joins over a dozen states that have made it easier to remove racial restrictive covenants, which were used to bar people of certain races from buying homes.",BY AMANDA HOLPUCH,Article,New York Times,2022-01-02,News,1
1969,Business,American Airlines posts a $931 million loss as the industry struggles to recover.,"The Omicron variant weighed on demand in the final three months of 2021, but the airline said it hoped to turn a profit this year.",BY NIRAJ CHOKSHI,Article,New York Times,2022-01-02,News,1
1970,Books,Tom McCarthy Thinks the Wrong Kurt Vonnegut Book Is Famous,"“I was really disappointed when I read ‘Slaughterhouse-Five,’” says the author of “The Making of Incarnation” and other novels. “But then I read his ‘Mother Night,’ and thought it was brilliant.”",NO RECORD,Article,New York Times,2022-01-02,News,1
1971,Movies,‘Simple Passion’ Review: An Ordinary Erotic Tale,"Adapted from a book by Annie Ernaux, the movie puts a female gaze on sexual obsession.",BY GLENN KENNY,Article,New York Times,2022-01-02,Review,1
1972,U.S.,What Happens With Voting Rights Now?,"In the past year, laws adding new voting restrictions were passed in 19 states, all pushed by Republicans.",BY NICK CORASANITI,Interactive,New York Times,2022-01-02,Interactive Feature,1
1973,Movies,‘A Shot Through the Wall’ Review: Tipping Justice’s Scales,"In this drama about the killing of a Black man, the intersection of race and policing is considered from the perspective of a Chinese American police officer.",BY BEATRICE LOAYZA,Article,New York Times,2022-01-02,Review,1
1974,Briefing,Fears of an Invasion,We explain the latest on Russia and Ukraine.,BY DAVID LEONHARDT,Article,New York Times,2022-01-02,briefing,1
1975,Podcasts,Microsoft and the Metaverse,"Why are so many major companies investing in this new digital world — and what is it, anyway?","BY MICHAEL BARBARO, DANIEL GUILLEMETTE, RACHELLE BONJA, ERIC KRUPKE, LUKE VANDER PLOEG, MIKE BENOIST, LISA CHOW, DAN POWELL, MARION LOZANO AND ELISHEBA ITTOOP",Article,New York Times,2022-01-02,News,1
1976,U.S.,He Taught the ‘Brutal Business’ of Dog Fighting. Now He’s Going to Prison.,"The defendant, Vernon Vegas, 49, of Suwanee, Ga., trained dogs for fights hosted by a cocaine trafficking and dog fighting ring that operated in at least three states, federal prosecutors said.",BY CHRISTINE CHUNG,Article,New York Times,2022-01-02,News,1
1977,Climate,Predictions Favored Solar Over Wind Power. What Happened?,"One lesson: Renewable technology benefits from early, consistent government support.",BY LOIS PARSHLEY,Article,New York Times,2022-01-02,News,1
1978,en Español,Cómo se hicieron las vacunas ARNm: con lentitud y accidentes afortunados,Las sorprendentes vacunas para la covid fabricadas por Pfizer-BioNTech y Moderna utilizaron descubrimientos sepultados  hace mucho con la esperanza de acabar con epidemias del pasado.,BY GINA KOLATA AND BENJAMIN MUELLER,Article,New York Times,2022-01-02,News,1
1979,Movies,The Day New Queer Cinema Said: Let’s Do This,"Thirty years after a panel at Sundance, some of the artists and journalists who helped ignite an L.G.B.T.Q. film movement take stock.",BY ERIK PIEPENBURG,Article,New York Times,2022-01-02,News,1
1980,The Upshot,Something Has to Give in the Housing Market. Or Does It?,"There appears to be no quick reprieve coming for rising prices: “It’s not a bubble, it really is about the fundamentals.”",BY EMILY BADGER,Article,New York Times,2022-01-02,News,1
1981,Science,A New Map of the Sun’s Local Bubble,"At the edge of a vast region devoid of gas and dust, scientists find an explanation for “how all nearby star formation began.”",BY DENNIS OVERBYE,Article,New York Times,2022-01-02,News,1
1982,Arts,The Morgan Wallen Conundrum,"The country superstar had the biggest album of 2021 despite being captured on video using a racial slur. Is he on a redemption tour, or just on tour?",BY JON CARAMANICA,Article,New York Times,2022-01-02,News,1
1983,Arts,‘And Just Like That’ Episode 8 Recap: Giant Feelings,Miranda is in love with Che and ready to act on it. But how does Che feel?,BY ALI TRACHTA,Article,New York Times,2022-01-02,Review,1
1984,New York,Hochul Amassed a Campaign Fortune. Here’s Who it Came From.,Gov. Kathy Hochul’s record-setting $21.6 million in donations flowed from a who’s who of New York’s special interests.,BY NICHOLAS FANDOS,Article,New York Times,2022-01-02,News,1
1985,Travel,Meet the Man Championing Lebanon’s Culinary Traditions,"At home and now in Paris, Kamal Mouzawak empowers Lebanese communities through food. Not even the horrific port blast in 2020 has stopped him.",BY LINDSEY TRAMUTA,Article,New York Times,2022-01-02,News,1
